# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FileChannelInterruptsRetryer.totalRetriedAttempts,1785188862276000000,1785188885597000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1785188862276000000,1785188885597000000,41943040
FilePageCache.pageLoadsAboveSizeThreshold,1785188862276000000,1785188885597000000,0
FilePageCache.maxCacheSizeInBytes,1785188862276000000,1785188885597000000,123731968
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1785188862276000000,1785188885597000000,41943040
FilePageCache.pageFastCacheHits,1785188862276000000,1785188885597000000,736458
FilePageCache.capacityInBytes,1785188862276000000,1785188885597000000,629145600
DirectByteBufferAllocator.reclaimed,1785188862276000000,1785188885597000000,67
FilePageCache.pageLoads,1785188862276000000,1785188885597000000,145
StorageLockContext.competingThreads.max,1785188862276000000,1785188885597000000,0
DirectByteBufferAllocator.misses,1785188862276000000,1785188885597000000,118
StorageLockContext.competingThreads.90P,1785188862276000000,1785188885597000000,0
FilePageCache.totalPageLoadsUs,1785188862276000000,1785188885597000000,105089
JVM.totalDirectByteBuffersBytes,1785188862276000000,1785188885597000000,41943041
JVM.GC.collections,1785188862276000000,1785188885597000000,53
JVM.newThreadsCount,1785188862276000000,1785188885597000000,405
MEM.ramBytes,1785188862276000000,1785188885597000000,2967449600
JVM.totalTimeAtSafepointsMs,1785188862276000000,1785188885597000000,418
JVM.totalCpuTimeMs,1785188862276000000,1785188885597000000,141810
JVM.totalTimeToSafepointsMs,1785188862276000000,1785188885597000000,67
JVM.usedNativeBytes,1785188862276000000,1785188885597000000,295126984
JVM.committedHeapBytes,1785188862276000000,1785188885597000000,2785017856
MEM.ramPlusSwapMinusFileMappingsBytes,1785188862276000000,1785188885597000000,2542256128
MEM.fileMappingsRamBytes,1785188862276000000,1785188885597000000,425193472
MEM.ramMinusFileMappingsBytes,1785188862276000000,1785188885597000000,2542256128
JVM.totalBytesAllocated,1785188862276000000,1785188885597000000,9884592072
JVM.GC.collectionTimesMs,1785188862276000000,1785188885597000000,388
OS.loadAverage,1785188862276000000,1785188885597000000,12.17529296875
JVM.usedHeapBytes,1785188862276000000,1785188885597000000,1005767048
JVM.totalSafepointCount,1785188862276000000,1785188885597000000,180
JVM.maxThreadCount,1785188862276000000,1785188885597000000,180
JVM.threadCount,1785188862276000000,1785188885597000000,140
JVM.maxHeapBytes,1785188862276000000,1785188885597000000,45466255360
lexer.Requirements.size.bytes,1785188862276000000,1785188885597000000,126
writeAction.max.wait.ms,1785188862276000000,1785188885597000000,47
writeAction.wait.ms,1785188862276000000,1785188885597000000,66
lexer.IgnoreLang.time.ns,1785188862276000000,1785188885597000000,1000078
lexer.Markdown.time.ns,1785188862276000000,1785188885597000000,423449343
lexer.Python.size.bytes,1785188862276000000,1785188885597000000,2722449
parser.Requirements.time.ns,1785188862276000000,1785188885597000000,896517
lexer.yaml.size.bytes,1785188862276000000,1785188885597000000,17807
lexer.Python.time.ns,1785188862276000000,1785188885597000000,7640251455
parser.Markdown.time.ns,1785188862276000000,1785188885597000000,670401819
parser.textmate.size.bytes,1785188862276000000,1785188885597000000,204038
parser.yaml.time.ns,1785188862276000000,1785188885597000000,18109293
lexer.TOML.size.bytes,1785188862276000000,1785188885597000000,22921
lexer.Requirements.time.ns,1785188862276000000,1785188885597000000,124612
parser.Python.size.bytes,1785188862276000000,1785188885597000000,2722449
parser.IgnoreLang.time.ns,1785188862276000000,1785188885597000000,3270620
DiskQueryRelay.tasksRequested,1785188862276000000,1785188885597000000,18420
parser.Python.time.ns,1785188862276000000,1785188885597000000,9307896212
lexer.yaml.time.ns,1785188862276000000,1785188885597000000,2553767
parser.HTML.time.ns,1785188862276000000,1785188885597000000,83933793
lexer.Markdown.size.bytes,1785188862276000000,1785188885597000000,553796
parser.Requirements.size.bytes,1785188862276000000,1785188885597000000,126
DiskQueryRelay.taskWaitingTotalTimeUs,1785188862276000000,1785188885597000000,4804854
writeAction.count,1785188862276000000,1785188885597000000,30
lexer.textmate.size.bytes,1785188862276000000,1785188885597000000,204038
parser.textmate.time.ns,1785188862276000000,1785188885597000000,818725
lexer.textmate.time.ns,1785188862276000000,1785188885597000000,189543
parser.JSON.size.bytes,1785188862276000000,1785188885597000000,37967
parser.TOML.size.bytes,1785188862276000000,1785188885597000000,22921
parser.JSON.time.ns,1785188862276000000,1785188885597000000,67
lexer.JSON.size.bytes,1785188862276000000,1785188885597000000,498113
parser.yaml.size.bytes,1785188862276000000,1785188885597000000,17807
parser.IgnoreLang.size.bytes,1785188862276000000,1785188885597000000,5296
parser.TOML.time.ns,1785188862276000000,1785188885597000000,28285318
lexer.TOML.time.ns,1785188862276000000,1785188885597000000,2525484
parser.HTML.size.bytes,1785188862276000000,1785188885597000000,300993
DiskQueryRelay.tasksExecuted,1785188862276000000,1785188885597000000,18420
writeAction.median.wait.ms,1785188862276000000,1785188885597000000,0
DiskQueryRelay.taskExecutionTotalTimeUs,1785188862276000000,1785188885597000000,3808735
lexer.IgnoreLang.size.bytes,1785188862276000000,1785188885597000000,5296
lexer.HTML.time.ns,1785188862276000000,1785188885597000000,122129909
parser.Markdown.size.bytes,1785188862276000000,1785188885597000000,553796
lexer.JSON.time.ns,1785188862276000000,1785188885597000000,54724030
lexer.HTML.size.bytes,1785188862276000000,1785188885597000000,300993
NonBlockingReadAction.finalizedExecutionTimeUs,1785188862276000000,1785188885597000000,53893
NonBlockingReadAction.finalizedExecutionsCount,1785188862276000000,1785188885597000000,21414
NonBlockingReadAction.failedExecutionsCount,1785188862276000000,1785188885597000000,3
NonBlockingReadAction.failedExecutionTimeUs,1785188862276000000,1785188885597000000,3410
AWTEventQueue.dispatchTimeTotalNS,1785188862276000000,1785188885597000000,725806909
