# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.cachedValueWithParameters.clear.count,1787998616899000000,1787998638991000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1787998616899000000,1787998638991000000,0
workspaceModel.updates.count,1787998616899000000,1787998638991000000,2
workspaceModel.updates.ms,1787998616899000000,1787998638991000000,7
workspaceModel.replace.project.model.ms,1787998616899000000,1787998638991000000,50
workspaceModel.cachedValue.total.get.count,1787998616899000000,1787998638991000000,38379
workspaceModel.check.recursive.update.ms,1787998616899000000,1787998638991000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1787998616899000000,1787998638991000000,0
workspaceModel.non.incremental.contributors.exclude.roots.computation.time.ms,1787998616899000000,1787998638991000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1787998616899000000,1787998638991000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1787998616899000000,1787998638991000000,11
workspaceModel.on.before.changed.ms,1787998616899000000,1787998638991000000,25
workspaceModel.non.incremental.contributors.file.sets.computation.time.ms,1787998616899000000,1787998638991000000,0
workspaceModel.workspaceFileIndexData.instances.count,1787998616899000000,1787998638991000000,1
workspaceModel.loading.from.cache.ms,1787998616899000000,1787998638991000000,12
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1787998616899000000,1787998638991000000,1979
workspaceModel.cachedValueWithParameters.calculated.count,1787998616899000000,1787998638991000000,0
parser.JSON.time.ns,1787998616899000000,1787998638991000000,24
lexer.TOML.size.bytes,1787998616899000000,1787998638991000000,3620
lexer.Python.time.ns,1787998616899000000,1787998638991000000,2329512916
parser.Requirements.size.bytes,1787998616899000000,1787998638991000000,234
lexer.Markdown.time.ns,1787998616899000000,1787998638991000000,22248300
writeAction.wait.ms,1787998616899000000,1787998638991000000,34
lexer.HTML.size.bytes,1787998616899000000,1787998638991000000,0
parser.JSON.size.bytes,1787998616899000000,1787998638991000000,37023
